group;space1;min. sol._t1;mean sol._t1;time (s)_t1;ttb (s)_t1;space2;min. sol._t2;mean sol._t2;time (s)_t2;ttb (s)_t2
40R_40V_02I_05M;\hspace{0.1cm};6148.546;6227.7478;219.6012;91.37320000000001;\hspace{0.2cm};6172.128;6363.9364;1721.5714;891.91
40R_40V_02I_06M;\hspace{0.1cm};5914.8;6085.016;319.3132;154.6586;\hspace{0.2cm};6156.668;6354.608;1846.1232;908.768
40R_40V_04I_05M;\hspace{0.1cm};4471.803333333333;4685.468333333333;293.0852;115.7864;\hspace{0.2cm};6330.366;6619.3904;2236.8887999999997;1117.102
40R_40V_04I_06M;\hspace{0.1cm};5238.2699999999995;5423.6398;388.048;190.8622;\hspace{0.2cm};6419.312;6592.4316;2398.5636;1306.7794
60R_60V_02I_05M;\hspace{0.1cm};8197.118;8252.7414;574.3502;239.2968;\hspace{0.2cm};9498.096;9855.847;3010.722;1615.8792
60R_60V_02I_06M;\hspace{0.1cm};8184.79;8300.6952;673.12;236.56019999999998;\hspace{0.2cm};9460.828;9845.8242;3129.1414;1640.4452000000001
60R_60V_04I_05M;\hspace{0.1cm};6437.57;6676.3475;659.7207999999999;233.1432;\hspace{0.2cm};9878.476;10245.5012;3343.9416;1786.054
60R_60V_04I_06M;\hspace{0.1cm};7308.4775;7651.5685;884.8754;462.6636;\hspace{0.2cm};9936.922;10166.36;3548.437;1947.8734
