group;min. sol.;mean sol.;time (s);ttb (s)
40R_40V_02I_05M;6148.546;6227.7478;219.6012;91.37320000000001
40R_40V_02I_06M;5914.8;6085.016;319.3132;154.6586
40R_40V_04I_05M;4471.803333333333;4685.468333333333;293.0852;115.7864
40R_40V_04I_06M;5238.2699999999995;5423.6398;388.048;190.8622
60R_60V_02I_05M;8197.118;8252.7414;574.3502;239.2968
60R_60V_02I_06M;8184.79;8300.6952;673.12;236.56019999999998
60R_60V_04I_05M;6437.57;6676.3475;659.7207999999999;233.1432
60R_60V_04I_06M;7308.4775;7651.5685;884.8754;462.6636
