name;group;type;full_name;time;status;optimal;tle_feas;tle_not_feas;gap;obj_value;bestbound;numnodes;constraints_used_mip_str
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.02;9;0;1;0;52.23;713.97;341.04;215676;1-29,35-45
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;257.15;2;1;0;0;0;713.97;713.97;185529;1-29,35-44,46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;234.83;2;1;0;0;0;713.97;713.97;173118;1-29,35-43,45-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;268.67;2;1;0;0;0;713.97;713.97;183868;1-29,35-42,44-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;279.33;2;1;0;0;0;713.97;713.97;184879;1-29,35-41,43-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.03;9;0;1;0;12.92;713.97;621.73;310889;1-29,35-40,42-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;261.57;2;1;0;0;0;713.97;713.97;185200;1-29,35-39,41-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;264.61;2;1;0;0;0;713.97;713.97;178568;1-29,35-38,40-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;460.56;2;1;0;0;0;713.97;713.97;213674;1-29,35-37,39-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;295.71;2;1;0;0;0;713.97;713.97;206998;1-29,35-36,38-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;271.68;2;1;0;0;0;713.97;713.97;185445;1-29,35,37-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;276.84;2;1;0;0;0;713.97;713.97;194794;1-29,36-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.02;9;0;1;0;7.49;715.97;662.36;310698;1-29,35-46
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.02;9;0;1;0;24.73;713.97;537.38;176204;1-29
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.05;9;0;1;0;52.38;716.2;341.04;132402;1-29,35
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.02;9;0;1;0;41.24;713.97;419.51;150593;1-29,36
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.05;9;0;1;0;52.04;716.2;343.48;121148;1-29,37
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.01;9;0;1;0;52.51;718.11;341.04;124258;1-29,38
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.01;9;0;1;0;36.55;715.57;454.03;157279;1-29,39
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;212.2;2;1;0;0;0;713.97;713.97;54195;1-29,40
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;459.4;2;1;0;0;0;713.97;713.97;109718;1-29,41
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.02;9;0;1;0;37.99;714.53;443.09;163491;1-29,42
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;600.02;9;0;1;0;35.71;716.2;460.48;155018;1-29,43
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;307.88;2;1;0;0;0;713.97;713.97;96929;1-29,44
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;357;2;1;0;0;0;713.97;713.97;111698;1-29,45
lr210;06R_06V_04F_03M;t2;lr210_t2_06R_06V_04F_03M;283.38;2;1;0;0;0;713.97;713.97;104754;1-29,46
