name;group;type;full_name;time;status;optimal;tle_feas;tle_not_feas;gap;obj_value;bestbound;numnodes;constraints_used_mip_str
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;196.07;2;1;0;0;0;532.03;532.03;51700;1-29,35-45
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;228.72;2;1;0;0;0;532.03;532.03;63466;1-29,35-44,46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;205.4;2;1;0;0;0;532.03;532.03;48422;1-29,35-43,45-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;207.71;2;1;0;0;0;532.03;532.03;58351;1-29,35-42,44-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;252.62;2;1;0;0;0;532.03;532.03;58048;1-29,35-41,43-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;403.35;2;1;0;0;0;532.03;532.03;154262;1-29,35-40,42-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;262.68;2;1;0;0;0;532.03;532.03;76626;1-29,35-39,41-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;216.17;2;1;0;0;0;532.03;532.03;60806;1-29,35-38,40-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;312.23;2;1;0;0;0;532.03;532.03;67175;1-29,35-37,39-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;304.6;2;1;0;0;0;532.03;532.03;96905;1-29,35-36,38-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;231.7;2;1;0;0;0;532.03;532.03;77571;1-29,35,37-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;263.11;2;1;0;0;0;532.03;532.03;90995;1-29,36-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;196.27;2;1;0;0;0;532.03;532.03;51700;1-29,35-46
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;356.89;2;1;0;0;0;532.03;532.03;51288;1-29
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;528.03;2;1;0;0;0;532.03;532.03;88701;1-29,35
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;435.42;2;1;0;0;0;532.03;532.03;69645;1-29,36
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;428.66;2;1;0;0;0;532.03;532.03;59100;1-29,37
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;357.33;2;1;0;0;0;532.03;532.03;59252;1-29,38
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;367.23;2;1;0;0;0;532.03;532.03;51266;1-29,39
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;469.67;2;1;0;0;0;532.03;532.03;65959;1-29,40
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;493.95;2;1;0;0;0;532.03;532.03;82911;1-29,41
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;437.44;2;1;0;0;0;532.03;532.03;74766;1-29,42
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;432.73;2;1;0;0;0;532.03;532.03;61340;1-29,43
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;370.57;2;1;0;0;0;532.03;532.03;59889;1-29,44
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;426.25;2;1;0;0;0;532.03;532.03;63427;1-29,45
lr209;06R_06V_04I_03M;t2;lr209_t2_06R_06V_04I_03M;359.36;2;1;0;0;0;532.03;532.03;65918;1-29,46
