group;Sol.;Gap;Time (s)
06R_06V_02F_03M;601.768;0;710.682
06R_06V_02F_04M;601.52;3.712;785.846
06R_06V_04F_03M;713.272;14.464;839.392
06R_06V_04F_04M;697.106;11.28;900.188
08R_08V_02F_03M;756.582;59.752;2895.452
08R_08V_02F_04M;756;70.242;2906.596
08R_08V_04F_03M;944.07;74.4;2985.96
08R_08V_04F_04M;948.728;73.99;2946.62
10R_10V_02F_03M;893.292;86.218;3600.104
10R_10V_02F_04M;886.114;77.602;3599.722
10R_10V_04F_03M;1215.86666666667;94.94;3600.07333333333
10R_10V_04F_04M;1201.99666666667;92.1966666666667;3600.13666666667
12R_12V_02F_03M;1089.338;97.89;3600.454
12R_12V_02F_04M;1124.5825;98.485;3600.5875
12R_12V_04F_03M;1587.38;100;3600.1
12R_12V_04F_04M;1437.27;100;3600.79333333333
