group;Sol.;Gap;Time (s)
06R_06V_02I_03M;597.864;0;589.998
06R_06V_02I_04M;594.99;0;708.978
06R_06V_04I_03M;603.796;20;838.836
06R_06V_04I_04M;598.21;20;866.792
08R_08V_02I_03M;721.496;57.272;2416.648
08R_08V_02I_04M;711.6;57.242;2535.138
08R_08V_04I_03M;776.392;62.148;2982.128
08R_08V_04I_04M;767.436;72.372;2964.84
10R_10V_02I_03M;774.668;81.708;3600.194
10R_10V_02I_04M;793.426;80.938;3600.34
10R_10V_04I_03M;950.015;91.7925;3600.455
10R_10V_04I_04M;982.633333333333;94.1433333333333;3600.18666666667
12R_12V_02I_03M;1071.65;93.575;3600.4225
12R_12V_02I_04M;1063.005;96.455;3600.5425
12R_12V_04I_03M;1246.05;100;3600.755
12R_12V_04I_04M;1229.9825;100;3601.4325
