group;Sol.;Gap;Time (s)
06R_06V_02I_03M;597.86;40;1810.6
06R_06V_02I_04M;596.56;40;1910
06R_06V_04I_03M;603.792;56.524;2787.4
06R_06V_04I_04M;602.054;63.722;2970.6
08R_08V_02I_03M;751.224;90.674;3600
08R_08V_02I_04M;750.894;88.902;3600
08R_08V_04I_03M;849.595;100;3600
08R_08V_04I_04M;867.9025;100;3600
10R_10V_02I_03M;954.68;100;3600.2
10R_10V_02I_04M;965.7075;100;3600
10R_10V_04I_03M;1094.9125;100;3600
10R_10V_04I_04M;1221.87333333333;100;3617.33333333333
12R_12V_02I_03M;1313.5675;100;3600.5
12R_12V_02I_04M;1237.30333333333;100;3600
12R_12V_04I_03M;1408.88;100;3600
12R_12V_04I_04M;1848.485;100;3600
