group;Sol.;min. sol.;mean sol.;time (s);ttb (s)
06R_06V_02I_03M;597.864;647.212;647.212;96.0398;4.933
06R_06V_02I_04M;594.99;645.024;645.024;98.05;1.5048000000000001
06R_06V_04I_03M;600.748;656.472;656.472;112.8646;2.6176
06R_06V_04I_04M;598.21;652.494;652.494;116.1444;1.4088
08R_08V_02I_03M;715.74;731.142;732.3682;124.9474;27.7706
08R_08V_02I_04M;712.542;727.264;728.609;129.0426;23.8892
08R_08V_04I_03M;766.744;772.3580000000001;774.7256;148.0908;30.561
08R_08V_04I_04M;769.506;768.846;769.1564;153.9656;33.4936
10R_10V_02I_03M;782.37;815.596;818.4568;155.513;29.14
10R_10V_02I_04M;782.9;814.554;816.9084;162.96699999999998;40.2686
10R_10V_04I_03M;Inf;920.614;928.1442000000001;185.2116;80.0458
10R_10V_04I_04M;Inf;911.722;915.541;208.8028;96.542
12R_12V_02I_03M;Inf;1004.23;1016.116;192.954;81.6584
12R_12V_02I_04M;Inf;1004.69;1013.5088;203.2092;91.8638
12R_12V_04I_03M;Inf;1039.114;1054.8024;243.74699999999999;111.4048
12R_12V_04I_04M;Inf;1032.898;1045.9966;267.789;143.41740000000001
