group;name;type;feasible;n_reqs;n_regions;n_machs;n_vehicles_used;n_machines_used;max_max_load_all_vehicles;min_max_load_all_vehicles;mean_max_load_all_vehicles;min_completion_time;max_completion_time;mean_completion_time;avrg_machines_travel_time_with_vehicle;avrg_machines_travel_time_only_with_vehicle;avrg_machines_travel_time_no_vehicle;avrg_vehicles_waiting_time_for_a_machine_travel;avrg_vehicles_waiting_time_for_a_service
08R_08V_04I_04M;lr102;1;1;08;04;04;62.5;100;68.4211;13.1579;42.35936;34.6478;97.5217;67.1026;32.0239;17.9293;14.0946;1.1605;2.2409
08R_08V_04I_04M;lr103;1;1;08;04;04;37.5;75;84.6154;42.1053;69.323567;54.8261;96.9348;81.5145;31.2493;18.1362;13.113;0;0
08R_08V_04I_04M;lr104;1;1;08;04;04;62.5;100;60;17.5;46.5151;32.7425;90.9;56.2946;31.3511;16.112;15.2391;0;0
08R_08V_04I_04M;lr105;1;1;08;04;04;62.5;100;60.4651;34.8837;45.58402;40.5772;76.061;60.448;46.7632;23.0224;23.7409;0;4.4924
10R_10V_02I_03M;lr101;1;1;10;02;03;80;100;86.5385;16.2791;35.629212;34.5738;91.4754;66.375;31.5683;19.138;12.4303;0;12.3808
10R_10V_02I_03M;lr102;1;1;10;02;03;60;100;60.4167;13.1579;38.064583;29.4059;97.2288;62.6457;8.2165;5.139;3.0775;3.1489;5.0361
10R_10V_02I_03M;lr103;1;1;10;02;03;30;66.6667;78.125;61.5385;69.471167;77.9609;93.5217;88.0043;11.2891;7.5261;3.763;0;1.0941
10R_10V_02I_03M;lr104;1;1;10;02;03;40;33.3333;75;36.3636;58.726675;49.8042;92.9217;73.8271;43.0348;24.5913;18.4435;0;0
10R_10V_02I_03M;lr105;1;1;10;02;03;50;66.6667;88.4615;30.2326;51.63474;39.5957;77.8478;58.3017;19.9913;13.3696;6.6217;0;3.0614
10R_10V_02I_04M;lr101;1;1;10;02;04;80;75;86.5385;16.2791;36.167862;34.5738;85.6393;63.8166;31.9016;17.9358;13.9658;0.0816;12.8691
10R_10V_02I_04M;lr102;1;1;10;02;04;60;75;68.4211;27.5862;44.628483;29.4059;91.7638;62.6457;8.4526;4.8684;3.5843;1.6073;3.4803
10R_10V_02I_04M;lr103;1;1;10;02;04;30;50;65.7894;50;57.8947;77.9607;93.5215;88.0042;11.2891;7.5261;3.763;0;1.0941
10R_10V_02I_04M;lr104;1;1;10;02;04;40;50;75;30;54.086525;49.8043;86.1087;72.1239;18.0913;12.0609;6.0304;0;0
10R_10V_02I_04M;lr105;1;1;10;02;04;50;50;88.4615;38.2353;57.10406;39.5957;77.8478;58.3017;19.9913;13.3696;6.6217;0;3.0614
10R_10V_04I_03M;lr101;1;1;10;04;03;90;100;58.8235;15.3846;34.088067;35.373;88.4221;57.3939;75.4809;40.2418;35.2391;2.0235;18.2269
10R_10V_04I_03M;lr102;1;1;10;04;03;60;100;95.8333;3.4483;56.928067;36.3162;82.1538;66.9003;40.641;26.7009;13.9402;0.7354;3.3431
10R_10V_04I_03M;lr103;1;1;10;04;03;40;66.6667;96.1529;59.375;71.4541;38.3696;96.5043;66.2669;39.0283;25.437;13.5913;0;1.1356
10R_10V_04I_03M;lr104;1;1;10;04;03;50;100;60.6061;35;46.58276;48.413;81.9783;63.1234;46.013;22.8145;23.1986;0;0
10R_10V_04I_03M;lr105;1;1;10;04;03;40;100;88.4615;34.8837;56.78665;45.1609;88.3174;72.6587;35.6217;17.9681;17.6536;0;4.9617000000000004
10R_10V_04I_04M;lr101;1;1;10;04;04;90;100;50;15.3846;31.915056;35.1475;87.4139;54.5291;49.3545;29.9846;19.3699;0;17.5251
10R_10V_04I_04M;lr102;1;1;10;04;04;60;100;84.2105;5.2632;55.853617;36.3162;82.1538;66.7706;29.719;20.5342;9.1848;0.9251;2.3759
10R_10V_04I_04M;lr103;1;1;10;04;04;40;75;65.7894;57.8947;61.149375;38.1913;96.5043;66.2228;22.6217;17.2072;5.4145;0;1.1355
10R_10V_04I_04M;lr104;1;1;10;04;04;50;75;73.0769;42.3077;53.34614;48.413;81.9782;63.1234;46.013;22.8145;23.1986;0;0
