req_reg;Optimal;TLE;Killed;Feas. Sol.
06R_06V_02F;9;1;0;10
06R_06V_04F;8;2;0;10
08R_08V_02F;2;8;0;10
08R_08V_04F;2;8;0;10
10R_10V_02F;1;9;0;10
10R_10V_04F;0;7;3;6
12R_12V_02F;0;9;1;9
12R_12V_04F;0;9;1;5
