req_mach;n_insts;type;optimal;tle;killed;feas_sol
06R_06V_03M;10;1;10;0;0;10
06R_06V_04M;10;1;10;0;0;10
08R_08V_03M;10;1;6;4;0;10
08R_08V_04M;10;1;6;4;0;10
10R_10V_03M;10;1;2;8;0;10
10R_10V_04M;10;1;2;8;0;10
12R_12V_03M;10;1;1;9;0;10
12R_12V_04M;10;1;1;9;0;10
