req_reg;Optimal;TLE;Killed;Feas. Sol.
06R_06V_02I;6;4;0;10
06R_06V_04I;3;7;0;10
08R_08V_02I;0;10;0;10
08R_08V_04I;0;10;0;8
10R_10V_02I;0;10;0;9
10R_10V_04I;0;10;0;7
12R_12V_02I;0;10;0;7
12R_12V_04I;0;10;0;4
