req_mach;n_insts;type;optimal;tle;killed;feas_sol
06R_06V_03M;10;2;5;5;0;10
06R_06V_04M;10;2;4;6;0;10
08R_08V_03M;10;2;0;10;0;9
08R_08V_04M;10;2;0;10;0;9
10R_10V_03M;10;2;0;10;0;9
10R_10V_04M;10;2;0;10;0;7
12R_12V_03M;10;2;0;10;0;6
12R_12V_04M;10;2;0;10;0;5
