full_name;type;alpha;feasible;minrpd;meanrpd;maxrpd
LR1_2_10_t1_40R_40V_04F_05M;t1;0.05;0;0;2.05451309635046;3.83902956303484
LR1_2_10_t1_40R_40V_04F_05M;t1;0.1;0;0.268393665964287;2.23680569065815;3.57214295696112
LR1_2_10_t1_40R_40V_04F_05M;t1;0.15;0;0.498699818330788;2.93424560692043;4.18579034330825
LR1_2_10_t1_40R_40V_04F_05M;t1;0.2;0;1.46773932796089;3.38304804232921;4.72929094202204
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;0;0;0.94878765923622;1.95737756425135
LR1_2_10_t1_60R_60V_02F_06M;t1;0.1;0;0.45546309517946;1.6184180600203;2.88119974958323
LR1_2_10_t1_60R_60V_02F_06M;t1;0.15;0;0.61689750497667;2.38750002930907;3.77360260170836
LR1_2_10_t1_60R_60V_02F_06M;t1;0.2;0;1.00694273474813;3.18542799462588;4.86765192068258
LR1_2_6_t1_40R_40V_02F_05M;t1;0.05;0;0.791832776063096;3.69770902992112;6.17149991426612
LR1_2_6_t1_40R_40V_02F_05M;t1;0.1;0;0;4.07292872299383;6.62374614197531
LR1_2_6_t1_40R_40V_02F_05M;t1;0.15;0;1.16624871399177;4.64595925497256;6.23271926440329
LR1_2_6_t1_40R_40V_02F_05M;t1;0.2;0;2.25453317901235;5.51572279020919;6.62374614197531
LR1_2_6_t1_60R_60V_02F_05M;t1;0.05;0;0;2.84603888557468;5.19850468678721
LR1_2_6_t1_60R_60V_02F_05M;t1;0.1;0;1.75127516529156;3.8992397517169;4.97164808534266
LR1_2_6_t1_60R_60V_02F_05M;t1;0.15;0;1.81433675923268;4.12559578240756;6.83335844787975
LR1_2_6_t1_60R_60V_02F_05M;t1;0.2;0;2.78977886125829;5.14151186817133;6.79548020732918
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;0;1.60483190966748;4.12882190123548;7.370678593687
LR1_2_8_t1_40R_40V_02F_06M;t1;0.1;0;0;5.42754655937237;8.93151739560803
LR1_2_8_t1_40R_40V_02F_06M;t1;0.15;0;5.19256149869854;7.23688913736849;8.50189720277157
LR1_2_8_t1_40R_40V_02F_06M;t1;0.2;0;4.04553286651759;7.88993474355685;10.2820141511163
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;0;1.03173084348109;3.19645189340909;5.21774456184175
LR1_2_8_t1_40R_40V_04F_06M;t1;0.1;0;0;3.66893963048391;5.51823239292394
LR1_2_8_t1_40R_40V_04F_06M;t1;0.15;0;0.605340289878435;3.52530980463256;6.03107614932399
