full_name;type;alpha;feasible;minrpd;meanrpd;maxrpd
LR2_2_8_t2_60R_60V_02I_05M;t2;0.1;0;4.09206534765331;10.1289352433883;13.5221183454753
LR2_2_8_t2_60R_60V_02I_05M;t2;0.15;0;11.6322545462857;14.7784410215551;18.3379647922048
LR2_2_8_t2_60R_60V_02I_05M;t2;0.2;0;12.7232325079432;16.3381378596456;19.2697533625698
LR2_2_8_t2_60R_60V_04I_05M;t2;0.05;0;0;6.16145109143059;10.5160284466411
LR2_2_8_t2_60R_60V_04I_05M;t2;0.1;0;3.98016890768026;10.508593320037;15.5148863498741
LR2_2_8_t2_60R_60V_04I_05M;t2;0.15;0;13.0162239061549;15.4922896970607;17.7736318217286
LR2_2_8_t2_60R_60V_04I_05M;t2;0.2;0;9.1436727072599;16.2073112589279;17.8185491845122
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;0;0;4.73005302098968;8.42769762197467
LR2_2_8_t2_60R_60V_04I_06M;t2;0.1;0;1.81734533030644;8.81736795661782;12.3815701151679
LR2_2_8_t2_60R_60V_04I_06M;t2;0.15;0;10.5218381615368;13.2103794432419;15.9150457428595
LR2_2_8_t2_60R_60V_04I_06M;t2;0.2;0;7.2672695321633;14.296374510706;15.9150457428595
lr106_t1_08R_08V_02I_04M;t1;0.05;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.1;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.15;0;0;0;0
lr106_t1_08R_08V_02I_04M;t1;0.2;0;0;0;0
lr108_t1_12R_12V_04I_04M;t1;0.05;0;0;0.00245995080098379;0.0491990160196758
lr108_t1_12R_12V_04I_04M;t1;0.1;0;0;0.0187196256074872;0.0623987520249573
lr108_t1_12R_12V_04I_04M;t1;0.15;0;0;0.0250794984100308;0.140397192056154
lr108_t1_12R_12V_04I_04M;t1;0.2;0;0;0.0219595608087829;0.140397192056154
lr109_t1_08R_08V_02I_03M;t1;0.05;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.1;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.15;0;0;0;0
lr109_t1_08R_08V_02I_03M;t1;0.2;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.05;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.1;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.15;0;0;0;0
lr109_t1_08R_08V_04I_04M;t1;0.2;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.05;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.1;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.15;0;0;0;0
lr109_t1_12R_12V_02I_03M;t1;0.2;0;0;0;0
lr110_t1_08R_08V_04I_03M;t1;0.05;0;0;0;0
lr110_t1_08R_08V_04I_03M;t1;0.1;0;0;0;0
lr110_t1_08R_08V_04I_03M;t1;0.15;0;0;0;0
lr110_t1_08R_08V_04I_03M;t1;0.2;0;0;0;0
lr110_t1_12R_12V_02I_04M;t1;0.05;0;0;0;0
lr110_t1_12R_12V_02I_04M;t1;0.1;0;0;0;0
lr110_t1_12R_12V_02I_04M;t1;0.15;0;0;0;0
lr110_t1_12R_12V_02I_04M;t1;0.2;0;0;0.0145128917708824;0.145128917708824
lr110_t1_12R_12V_04I_03M;t1;0.05;0;0;0;0
lr110_t1_12R_12V_04I_03M;t1;0.1;0;0;0;0
lr110_t1_12R_12V_04I_03M;t1;0.15;0;0;0;0
lr110_t1_12R_12V_04I_03M;t1;0.2;0;0;0.0167751118340788;0.335502236681576
lr207_t2_12R_12V_02I_04M;t2;0.05;0;0.764047577195756;1.66250659166813;2.18901974570809
lr207_t2_12R_12V_02I_04M;t2;0.1;0;0.674986816663736;2.0351555633679;2.84642878068787
lr207_t2_12R_12V_02I_04M;t2;0.15;0;0;2.44178824632331;3.4159489072479
lr207_t2_12R_12V_02I_04M;t2;0.2;0;2.03081971055252;3.41290209175602;5.24989746294017
lr207_t2_12R_12V_04I_03M;t2;0.05;0;0;2.19134523146887;4.55595163372376
lr207_t2_12R_12V_04I_03M;t2;0.1;0;0.0260543113963959;3.45959805303237;6.16539750589183
lr207_t2_12R_12V_04I_03M;t2;0.15;0;2.14474354267578;5.11025710868201;7.03229550326271
lr207_t2_12R_12V_04I_03M;t2;0.2;0;2.54740108243821;6.01635500183565;10.4181716979121
lr207_t2_12R_12V_04I_04M;t2;0.05;0;0;2.82456917715531;5.09562530687521
lr207_t2_12R_12V_04I_04M;t2;0.1;0;1.12091781133612;5.14915631773709;6.70395075626026
lr207_t2_12R_12V_04I_04M;t2;0.15;0;3.48969498101864;6.44401997533023;8.21766882626972
lr207_t2_12R_12V_04I_04M;t2;0.2;0;2.4178772020167;7.47841394919943;10.6056069841802
lr208_t2_08R_08V_02I_04M;t2;0.05;0;0.118539592223799;1.23582084108399;2.51668672721303
lr208_t2_08R_08V_02I_04M;t2;0.1;0;0;1.19797935587409;3.32457964036912
lr208_t2_08R_08V_02I_04M;t2;0.15;0;0.118539592223799;1.35499872341977;2.73917642338695
lr208_t2_08R_08V_02I_04M;t2;0.2;0;0.840719261771896;1.72949265054528;3.75496954444321
lr208_t2_08R_08V_04I_04M;t2;0.05;0;0;0.301437650597538;0.735805423937118
lr208_t2_08R_08V_04I_04M;t2;0.1;0;0;0.357148632695634;0.742274043048665
lr208_t2_08R_08V_04I_04M;t2;0.15;0;0.37679706324693;0.63497582353607;1.20478030952343
lr208_t2_08R_08V_04I_04M;t2;0.2;0;0;0.792890987596422;1.61068615877226
lr208_t2_12R_12V_02I_03M;t2;0.05;0;1.34603327063407;2.50570296554208;3.52449940635797
lr208_t2_12R_12V_02I_03M;t2;0.1;0;0.87778978402103;3.44799295633729;5.11199156894918
