alpha;mean_minrpd;mean_meanrpd;mean_maxrpd;sd_minrpd;sd_meanrpd;sd_maxrpd
0.05;0.358146206319484;2.06204585119715;3.35873836865918;0.824740533534372;2.01915203847228;3.02355965157562
0.1;0.966534915977658;2.8051745844153;4.08020694705703;1.4882365164573;2.72277509697312;3.65719846260845
0.15;1.69548729744645;3.35067285836499;4.55202789871041;1.98588533950649;3.22501317289861;4.05622234820137
0.2;1.74309807663201;3.55190822583827;4.82778087731915;2.08816442434165;3.28686353711073;4.28402402232409
