full_name;type;alpha;seed;value;feasible
lr109_t1_12R_12V_04F_04M;t1;0.05;52;1394.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;52;1341.92;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;52;4479.21;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;52;5870.64;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;52;6267.8;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;52;7765.97;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;52;8696.74;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;52;10224.58;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;52;11916.32;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;52;11562.28;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.05;59;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;59;654.25;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;59;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;59;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;59;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;59;972.62;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.05;59;1394.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;59;1345.09;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;59;4504.43;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;59;5881.85;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;59;6153.78;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;59;7857.47;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;59;8610.67;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;59;10121.71;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;59;12087.85;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;59;11405.82;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.05;66;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;66;651.63;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;66;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;66;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;66;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;66;981.39;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.05;66;1394.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;66;1335.33;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;66;4607.84;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;66;5942.39;TRUE
LR1_2_8_t1_40R_40V_04F_06M;t1;0.05;66;6190.49;TRUE
LR2_2_6_t2_40R_40V_04F_06M;t2;0.05;66;7710.56;TRUE
LR1_2_10_t1_60R_60V_02F_06M;t1;0.05;66;8676.45;TRUE
LR2_2_6_t2_60R_60V_02F_06M;t2;0.05;66;10351.71;TRUE
LR1_2_9_t1_60R_60V_04F_06M;t1;0.05;66;11945.93;TRUE
LR2_2_6_t2_60R_60V_04F_06M;t2;0.05;66;11848.83;TRUE
lr106_t1_08R_08V_02F_04M;t1;0.05;73;883.07;TRUE
lr208_t2_08R_08V_02F_04M;t2;0.05;73;652.97;TRUE
lr109_t1_08R_08V_04F_04M;t1;0.05;73;968.56;TRUE
lr209_t2_08R_08V_04F_04M;t2;0.05;73;836.82;TRUE
lr106_t1_12R_12V_02F_04M;t1;0.05;73;984.12;TRUE
lr209_t2_12R_12V_02F_04M;t2;0.05;73;978.58;TRUE
lr109_t1_12R_12V_04F_04M;t1;0.05;73;1394.97;TRUE
lr210_t2_12R_12V_04F_04M;t2;0.05;73;1337.15;TRUE
LR1_2_8_t1_40R_40V_02F_06M;t1;0.05;73;4530.02;TRUE
LR2_2_7_t2_40R_40V_02F_06M;t2;0.05;73;5899.98;TRUE
