full_name;type;alpha;seed;value;feasible
lr108_t1_12R_12V_04I_04M;t1;0.05;52;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;52;849.43;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;52;3703.8;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;52;6281.27;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;52;3256.27;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;52;6047.93;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;52;6565.08;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;52;10231.46;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;52;6705.78;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;52;6994.84;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;59;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;59;548.99;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;59;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;59;620.47;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;59;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;59;864.49;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.05;59;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;59;869.66;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;59;3783.73;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;59;6232.53;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;59;3272.35;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;59;6077.03;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;59;6470.09;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;59;10421.92;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;59;6839.5;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;59;6918.97;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;66;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;66;549.81;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;66;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;66;618.4;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;66;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;66;859.87;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.05;66;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;66;853.1;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;66;3605.43;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;66;6192.68;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;66;3403.46;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;66;5997.64;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;66;6610.43;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;66;10425.44;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;66;7018.27;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;66;7116.62;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;73;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;73;554.87;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;73;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;73;622.21;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;73;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;73;870.03;TRUE
lr108_t1_12R_12V_04I_04M;t1;0.05;73;833.35;TRUE
lr207_t2_12R_12V_04I_04M;t2;0.05;73;869.38;TRUE
LR1_2_8_t1_40R_40V_02I_06M;t1;0.05;73;3836.54;TRUE
LR2_2_10_t2_40R_40V_02I_06M;t2;0.05;73;6298.94;TRUE
LR1_2_8_t1_40R_40V_04I_06M;t1;0.05;73;3290.83;TRUE
LR2_2_6_t2_40R_40V_04I_06M;t2;0.05;73;5960.29;TRUE
LR1_2_9_t1_60R_60V_02I_06M;t1;0.05;73;6562.13;TRUE
LR2_2_10_t2_60R_60V_02I_06M;t2;0.05;73;10462.93;TRUE
LR1_2_9_t1_60R_60V_04I_06M;t1;0.05;73;6965.55;TRUE
LR2_2_8_t2_60R_60V_04I_06M;t2;0.05;73;6767.77;TRUE
lr106_t1_08R_08V_02I_04M;t1;0.05;80;602.78;TRUE
lr208_t2_08R_08V_02I_04M;t2;0.05;80;559.95;TRUE
lr109_t1_08R_08V_04I_04M;t1;0.05;80;555.44;TRUE
lr208_t2_08R_08V_04I_04M;t2;0.05;80;618.4;TRUE
lr110_t1_12R_12V_02I_04M;t1;0.05;80;971.55;TRUE
lr207_t2_12R_12V_02I_04M;t2;0.05;80;869.27;TRUE
