name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr205;08R_08V_02F_03M;t2;0.05;75;736.45;TRUE;126.09;lr205_t2_08R_08V_02F_03M;8;1855;4.28;60000;0;27.63
lr205;08R_08V_02F_04M;t2;0.05;75;729.88;TRUE;131.05;lr205_t2_08R_08V_02F_04M;8;1855;4.37;60000;0;27.81
lr101;08R_08V_04F_03M;t1;0.05;75;1166.54;TRUE;44.8;lr101_t1_08R_08V_04F_03M;8;603;0.77;60000;69.04;14.27
lr101;08R_08V_04F_04M;t1;0.05;75;1135.03;TRUE;110.97;lr101_t1_08R_08V_04F_04M;8;114;0.52;60000;10.02;16.58
lr102;08R_08V_04F_03M;t1;0.05;75;1030.42;TRUE;24.39;lr102_t1_08R_08V_04F_03M;8;915;0.7;60000;87.56;11.45
lr102;08R_08V_04F_04M;t1;0.05;75;1003.13;TRUE;115.76;lr102_t1_08R_08V_04F_04M;8;10;0.33;60000;9.83;9.74
lr103;08R_08V_04F_03M;t1;0.05;75;1099.07;TRUE;58.04;lr103_t1_08R_08V_04F_03M;8;315;0.64;60000;66.61;12.08
lr103;08R_08V_04F_04M;t1;0.05;75;1086.46;TRUE;74.09;lr103_t1_08R_08V_04F_04M;8;3883;5.15;60000;55.63;13.12
lr104;08R_08V_04F_03M;t1;0.05;75;1096.75;TRUE;56.5;lr104_t1_08R_08V_04F_03M;8;2112;2.24;60000;67.41;14.34
lr104;08R_08V_04F_04M;t1;0.05;75;1092.54;TRUE;75.28;lr104_t1_08R_08V_04F_04M;8;1014;1.66;60000;54.57;12.63
lr105;08R_08V_04F_03M;t1;0.05;75;1068.12;TRUE;116.6;lr105_t1_08R_08V_04F_03M;8;21;0.36;60000;4.36;11.92
lr105;08R_08V_04F_04M;t1;0.05;75;1053.6;TRUE;113.6;lr105_t1_08R_08V_04F_04M;8;7;0.3;60000;7.64;11.47
lr201;08R_08V_04F_03M;t2;0.05;75;1142.97;TRUE;122.28;lr201_t2_08R_08V_04F_03M;8;16;0.35;60000;4.28;20.34
lr201;08R_08V_04F_04M;t2;0.05;75;1136.32;TRUE;123.79;lr201_t2_08R_08V_04F_04M;8;16;0.31;60000;4.35;20.48
lr202;08R_08V_04F_03M;t2;0.05;75;885.9;TRUE;153.98;lr202_t2_08R_08V_04F_03M;8;13393;34.41;60000;0;27.92
lr202;08R_08V_04F_04M;t2;0.05;75;880.69;TRUE;161.1;lr202_t2_08R_08V_04F_04M;8;13393;36.12;60000;0;28.27
lr203;08R_08V_04F_03M;t2;0.05;75;929.42;TRUE;153.54;lr203_t2_08R_08V_04F_03M;8;69;0.49;60000;0;16.17
lr203;08R_08V_04F_04M;t2;0.05;75;928.97;TRUE;158.01;lr203_t2_08R_08V_04F_04M;8;69;0.49;60000;0;16.78
lr204;08R_08V_04F_03M;t2;0.05;75;888.62;TRUE;160.94;lr204_t2_08R_08V_04F_03M;8;6104;16.84;60000;0;8.3
lr204;08R_08V_04F_04M;t2;0.05;75;882.99;TRUE;166.72;lr204_t2_08R_08V_04F_04M;8;6104;17.4;60000;0;8.51
lr205;08R_08V_04F_03M;t2;0.05;75;944;TRUE;153.88;lr205_t2_08R_08V_04F_03M;8;13981;36.2;60000;0;19.59
lr205;08R_08V_04F_04M;t2;0.05;75;937.99;TRUE;159.04;lr205_t2_08R_08V_04F_04M;8;13981;37.47;60000;0;19.72
lr101;10R_10V_02F_03M;t1;0.05;75;1194.55;TRUE;126.02;lr101_t1_10R_10V_02F_03M;10;388;1.09;60000;0;21.14
lr101;10R_10V_02F_04M;t1;0.05;75;1187.36;TRUE;129.36;lr101_t1_10R_10V_02F_04M;10;55;0.42;60000;0;22.35
lr102;10R_10V_02F_03M;t1;0.05;75;1025.34;TRUE;51.65;lr102_t1_10R_10V_02F_03M;10;685;0.93;60000;67.03;10.76
lr102;10R_10V_02F_04M;t1;0.05;75;1022.31;TRUE;96.13;lr102_t1_10R_10V_02F_04M;10;10;0.3;60000;32.36;10.7
lr103;10R_10V_02F_03M;t1;0.05;75;1034.38;TRUE;64.62;lr103_t1_10R_10V_02F_03M;10;6;0.33;60000;63.25;12.57
lr103;10R_10V_02F_04M;t1;0.05;75;1022.42;TRUE;128.13;lr103_t1_10R_10V_02F_04M;10;6;0.32;60000;15.77;11.85
