name;group;type;alpha;seed;value;feasible;total_time_elapsed;full_name;n;iteration_to_best;time_to_best;iteration;percentage_infeasible_sol;mean_LP_impr_percentage
lr102;08R_08V_02I_03M;t1;0.05;24;770.92;TRUE;110.38;lr102_t1_08R_08V_02I_03M;8;404;1.08;60000;0;15.3
lr102;08R_08V_02I_04M;t1;0.05;24;770.92;TRUE;111.46;lr102_t1_08R_08V_02I_04M;8;404;1.1;60000;0;15.3
lr103;08R_08V_02I_03M;t1;0.05;24;546.38;TRUE;118;lr103_t1_08R_08V_02I_03M;8;316;0.98;60000;0.06;12.24
lr103;08R_08V_02I_04M;t1;0.05;24;546.38;TRUE;121.19;lr103_t1_08R_08V_02I_04M;8;316;0.99;60000;0;12.09
lr104;08R_08V_02I_03M;t1;0.05;24;558.37;TRUE;109.92;lr104_t1_08R_08V_02I_03M;8;62;0.41;60000;0;12.92
lr104;08R_08V_02I_04M;t1;0.05;24;558.37;TRUE;111.36;lr104_t1_08R_08V_02I_04M;8;62;0.42;60000;0;13.12
lr105;08R_08V_02I_03M;t1;0.05;24;557.04;TRUE;100.99;lr105_t1_08R_08V_02I_03M;8;15;0.35;60000;0;18.42
lr105;08R_08V_02I_04M;t1;0.05;24;556.3;TRUE;103.8;lr105_t1_08R_08V_02I_04M;8;15;0.34;60000;0;18.44
lr201;08R_08V_02I_03M;t2;0.05;24;948.1;TRUE;103.91;lr201_t2_08R_08V_02I_03M;8;154;0.59;60000;0;26.93
lr201;08R_08V_02I_04M;t2;0.05;24;944.72;TRUE;105.43;lr201_t2_08R_08V_02I_04M;8;154;0.59;60000;0;26.88
lr202;08R_08V_02I_03M;t2;0.05;24;694.1;TRUE;129.63;lr202_t2_08R_08V_02I_03M;8;48607;105.23;60000;0;34.73
lr202;08R_08V_02I_04M;t2;0.05;24;694.1;TRUE;135.28;lr202_t2_08R_08V_02I_04M;8;48607;109.61;60000;0;34.75
lr203;08R_08V_02I_03M;t2;0.05;24;685.02;TRUE;130.69;lr203_t2_08R_08V_02I_03M;8;139;0.6;60000;0;23.97
lr203;08R_08V_02I_04M;t2;0.05;24;684.26;TRUE;134;lr203_t2_08R_08V_02I_04M;8;139;0.61;60000;0;24.29
lr204;08R_08V_02I_03M;t2;0.05;24;683.79;TRUE;140.46;lr204_t2_08R_08V_02I_03M;8;14319;33.85;60000;0;13.1
lr204;08R_08V_02I_04M;t2;0.05;24;682.02;TRUE;147.42;lr204_t2_08R_08V_02I_04M;8;184;0.74;60000;0;13.19
lr205;08R_08V_02I_03M;t2;0.05;24;650.25;TRUE;126.49;lr205_t2_08R_08V_02I_03M;8;6989;14.97;60000;0;28.06
lr205;08R_08V_02I_04M;t2;0.05;24;639.29;TRUE;131.84;lr205_t2_08R_08V_02I_04M;8;28089;61.46;60000;0;27.36
lr101;08R_08V_04I_03M;t1;0.05;24;1155.57;TRUE;7.48;lr101_t1_08R_08V_04I_03M;8;2483;0.63;60000;99.56;16.66
lr101;08R_08V_04I_04M;t1;0.05;24;1067.57;TRUE;45.44;lr101_t1_08R_08V_04I_04M;8;7570;6.11;60000;69.53;19.6
lr102;08R_08V_04I_03M;t1;0.05;24;772.63;TRUE;62.03;lr102_t1_08R_08V_04I_03M;8;2740;3.07;60000;51.37;14.59
lr102;08R_08V_04I_04M;t1;0.05;24;773.21;TRUE;64.88;lr102_t1_08R_08V_04I_04M;8;933;1.33;60000;50.78;14.34
lr103;08R_08V_04I_03M;t1;0.05;24;563.98;TRUE;109.26;lr103_t1_08R_08V_04I_03M;8;982;2.12;60000;19.85;11.5
lr103;08R_08V_04I_04M;t1;0.05;24;562.45;TRUE;132.03;lr103_t1_08R_08V_04I_04M;8;441;1.33;60000;1.29;10.58
lr104;08R_08V_04I_03M;t1;0.05;24;649.57;TRUE;111.15;lr104_t1_08R_08V_04I_03M;8;342;0.99;60000;18.69;16.23
lr104;08R_08V_04I_04M;t1;0.05;24;649.55;TRUE;133.65;lr104_t1_08R_08V_04I_04M;8;496;1.49;60000;3.39;10.61
lr105;08R_08V_04I_03M;t1;0.05;24;754.77;TRUE;26.84;lr105_t1_08R_08V_04I_03M;8;517;0.53;60000;86.41;14.37
lr105;08R_08V_04I_04M;t1;0.05;24;751.51;TRUE;106.82;lr105_t1_08R_08V_04I_04M;8;3496;6.6;60000;15.45;13.56
lr201;08R_08V_04I_03M;t2;0.05;24;1022.83;TRUE;124.34;lr201_t2_08R_08V_04I_03M;8;2401;5.34;60000;0;22.05
lr201;08R_08V_04I_04M;t2;0.05;24;1018.91;TRUE;127.47;lr201_t2_08R_08V_04I_04M;8;2401;5.47;60000;0;21.84
lr202;08R_08V_04I_03M;t2;0.05;24;796.84;TRUE;157.13;lr202_t2_08R_08V_04I_03M;8;19387;51.15;60000;0;25.18
lr202;08R_08V_04I_04M;t2;0.05;24;760.68;TRUE;162.73;lr202_t2_08R_08V_04I_04M;8;12987;35.64;60000;0;30.4
lr203;08R_08V_04I_03M;t2;0.05;24;684.38;TRUE;141.87;lr203_t2_08R_08V_04I_03M;8;492;1.48;60000;0;21
lr203;08R_08V_04I_04M;t2;0.05;24;683.66;TRUE;148.86;lr203_t2_08R_08V_04I_04M;8;492;1.54;60000;0;21.38
lr204;08R_08V_04I_03M;t2;0.05;24;725.42;TRUE;167.68;lr204_t2_08R_08V_04I_03M;8;954;3.04;60000;0;14.17
lr204;08R_08V_04I_04M;t2;0.05;24;725.42;TRUE;181.23;lr204_t2_08R_08V_04I_04M;8;954;3.29;60000;0;14.8
lr205;08R_08V_04I_03M;t2;0.05;24;662.24;TRUE;154.24;lr205_t2_08R_08V_04I_03M;8;6195;16.32;60000;0;27.61
lr205;08R_08V_04I_04M;t2;0.05;24;661.85;TRUE;160.42;lr205_t2_08R_08V_04I_04M;8;4460;12.53;60000;0;27.59
